date_received,issue category,channel,company_response,timely_response,consumer_disputed,complaint_id,order_id
23 January 2023,Long wait on hold,Phone Support,Closed with monetary relief,Yes,No,CR1371826,US-2015-153677
22 October 2020,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR2104830,US-2015-157150
09 December 2021,Poor Product or Service,Email,Closed with monetary relief,Yes,No,CR0418479,US-2015-159279
09 June 2019,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,Yes,CR1909608,US-2015-156849
03 May 2023,Poor Product or Service,Branch,Closed with explanation,Yes,No,CR0587861,US-2015-154383
10 September 2019,Long wait on hold,Branch,Closed with explanation,Yes,No,CR1481105,US-2015-151369
01 February 2023,Long wait on hold,Phone Support,Closed with explanation,Yes,Yes,CR1756563,US-2015-159175
09 September 2021,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR2009490,US-2015-151686
10 July 2021,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR1835332,US-2015-156903
17 August 2020,Uninterested Service Rep,Mobile App,Closed with monetary relief,No,Yes,CR0089542,US-2015-155105
25 September 2019,Long wait on hold,Mobile App,Closed with non-monetary relief,Yes,No,CR1455861,US-2015-155604
27 October 2019,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,Yes,CR0871335,US-2015-160490
02 November 2020,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR0949403,US-2015-155443
02 December 2022,Poor Product or Service,Email,Closed with monetary relief,Yes,No,CR2035955,US-2015-154436
05 August 2020,New Product or Feature Request,Mobile App,Closed with monetary relief,Yes,No,CR1854125,US-2015-154449
10 July 2019,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR0440277,US-2015-155580
25 September 2019,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR1784697,US-2015-160521
22 July 2020,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR2083797,US-2015-154209
24 April 2023,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1249514,US-2015-154769
21 February 2021,Unavailable or Out of Stock Product,Branch,Closed with monetary relief,Yes,,CR2381178,US-2015-154479
30 March 2019,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR1648334,US-2015-151619
04 June 2022,Making Customers Repeat Their Problem,Email,Closed with non-monetary relief,Yes,No,CR1498821,US-2015-155731
19 March 2022,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR0689939,US-2015-155767
20 January 2021,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,Yes,No,CR1495257,US-2015-152709
01 January 2022,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR1390944,US-2015-158718
11 May 2019,No First Call Resolution,Branch,Closed with monetary relief,Yes,No,CR2259376,US-2015-152973
10 May 2023,New Product or Feature Request,Email,Closed with explanation,Yes,Yes,CR0283220,US-2015-153746
13 June 2020,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,No,CR2111636,US-2015-156480
05 May 2020,New Product or Feature Request,Phone Support,Closed with explanation,Yes,Yes,CR1567700,US-2015-155131
19 February 2020,Unavailable or Out of Stock Product,Email,Closed with monetary relief,Yes,No,CR0130233,US-2015-157394
03 March 2019,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR1930395,US-2015-156887
24 April 2022,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,No,CR2172937,US-2015-154791
16 April 2023,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1755925,US-2015-152690
14 July 2019,No First Call Resolution,Phone Support,Closed with non-monetary relief,Yes,No,CR1496382,US-2015-150767
07 August 2020,No First Call Resolution,Branch,Closed with explanation,Yes,No,CR1870285,US-2015-153647
16 January 2020,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,No,CR2271991,US-2015-153252
13 August 2020,No First Call Resolution,Mobile App,Closed with explanation,Yes,Yes,CR1305593,US-2015-154772
12 September 2020,Poor Product or Service,Branch,Closed with explanation,Yes,No,CR1544229,US-2015-152636
22 January 2021,Long wait on hold,Email,Closed with explanation,Yes,Yes,CR1415743,US-2015-160164
05 December 2019,Long wait on hold,Branch,Closed with explanation,Yes,Yes,CR0313086,US-2015-153532
19 March 2021,Long wait on hold,Branch,Closed with monetary relief,Yes,No,CR0138644,US-2015-158754
13 June 2020,Unavailable or Out of Stock Product,Phone Support,Closed with monetary relief,Yes,No,CR2132541,US-2015-151097
25 July 2019,New Product or Feature Request,Email,Closed with explanation,Yes,No,CR1941376,US-2015-159225
12 January 2020,No First Call Resolution,Mobile App,Closed with explanation,Yes,,CR2394945,US-2015-151517
02 September 2021,Poor Product or Service,Email,Closed with explanation,Yes,Yes,CR1577468,US-2015-151119
10 May 2021,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR1660050,US-2015-159361
10 August 2022,No First Call Resolution,Email,Closed with explanation,Yes,No,CR1766940,US-2015-158986
12 November 2021,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR2118524,US-2015-153065
09 June 2020,New Product or Feature Request,Branch,Closed with non-monetary relief,Yes,No,CR2184797,US-2015-154925
29 August 2022,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,Yes,No,CR0479451,US-2015-160112
30 December 2020,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,Yes,CR0718616,US-2015-156645
04 March 2023,Long wait on hold,Email,Closed with non-monetary relief,Yes,No,CR2047529,US-2015-154480
08 September 2021,New Product or Feature Request,Mobile App,Closed with explanation,Yes,No,CR0991303,US-2015-151587
20 December 2020,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR1822084,US-2015-159641
08 March 2021,New Product or Feature Request,Email,Closed with explanation,Yes,No,CR2150336,US-2015-155086
20 January 2019,New Product or Feature Request,Branch,Closed with monetary relief,Yes,No,CR2119879,US-2015-151989
05 May 2023,Poor Product or Service,Email,Closed with monetary relief,Yes,No,CR2061914,US-2015-158058
02 January 2023,Lack of Follow Up,Branch,Closed with explanation,Yes,Yes,CR1500202,US-2015-160523
14 December 2019,Poor Product or Service,Branch,In progress,Yes,,CR2397904,US-2015-154387
26 June 2019,Long wait on hold,Phone Support,Closed with explanation,Yes,No,CR2208613,US-2015-159926
12 July 2021,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR1873543,US-2015-156054
03 June 2022,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR1680495,US-2015-151844
04 October 2023,Poor Product or Service,Phone Support,Closed with explanation,Yes,No,CR1313087,US-2015-158031
28 May 2022,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1418766,US-2015-150992
21 December 2022,Long wait on hold,Phone Support,Closed with explanation,Yes,No,CR1580992,US-2015-158028
14 January 2023,Lack of Follow Up,Branch,Closed with explanation,Yes,No,CR1340503,US-2015-156383
21 June 2023,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1772134,US-2015-158139
27 June 2019,Poor Product or Service,Phone Support,Closed with explanation,Yes,No,CR2193859,US-2015-154752
15 September 2019,Making Customers Repeat Their Problem,Branch,Closed with explanation,No,No,CR0161683,US-2015-153848
08 July 2021,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,No,CR0322720,US-2015-152868
11 August 2020,Making Customers Repeat Their Problem,Phone Support,Closed,Yes,No,CR2277705,US-2015-152328
22 October 2022,New Product or Feature Request,Phone Support,Closed with monetary relief,Yes,No,CR1015058,US-2015-158274
01 September 2023,Long wait on hold,Mobile App,Closed with monetary relief,Yes,No,CR1566591,US-2015-156095
16 June 2022,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR0487225,US-2015-160075
09 November 2021,Lack of Follow Up,Branch,Closed with explanation,Yes,No,CR1949659,US-2015-160581
21 February 2022,No First Call Resolution,Mobile App,Closed with monetary relief,Yes,No,CR0746087,US-2015-158441
16 February 2023,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR1863969,US-2015-158800
04 June 2023,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,No,CR1819921,US-2015-154510
15 June 2022,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,Yes,CR1820535,US-2015-156327
07 April 2019,Poor Product or Service,Email,Closed with explanation,Yes,No,CR1016584,US-2015-153588
30 November 2019,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,No,CR2199697,US-2015-155274
29 January 2022,No First Call Resolution,Mobile App,Closed with monetary relief,Yes,No,CR0327025,US-2015-158987
14 August 2019,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1869568,US-2015-157196
09 January 2019,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR2061433,US-2015-153566
06 July 2022,New Product or Feature Request,Branch,Closed with explanation,Yes,No,CR2120430,US-2015-152095
31 December 2019,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR1949866,US-2015-153960
05 June 2019,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1507355,US-2015-156847
13 June 2022,New Product or Feature Request,Phone Support,Closed with explanation,Yes,Yes,CR1584140,US-2015-157523
20 September 2020,New Product or Feature Request,Mobile App,Closed with explanation,Yes,Yes,CR0490204,US-2015-154863
01 August 2020,Unavailable or Out of Stock Product,Mobile App,Closed with monetary relief,Yes,No,CR1693185,US-2015-152116
01 April 2021,Lack of Follow Up,Email,Closed with explanation,Yes,No,CR2280052,US-2015-158183
02 June 2021,Uninterested Service Rep,Mobile App,Closed with non-monetary relief,Yes,No,CR1777183,US-2015-153740
08 April 2019,Unavailable or Out of Stock Product,Email,Closed with non-monetary relief,Yes,No,CR1573466,US-2015-157919
25 February 2022,Uninterested Service Rep,Branch,Closed with explanation,Yes,No,CR1316790,US-2015-151390
26 August 2023,Long wait on hold,Mobile App,Closed with explanation,Yes,No,CR1419754,US-2015-152304
20 May 2022,Lack of Follow Up,Email,Closed with explanation,Yes,No,CR0783255,US-2015-152508
27 November 2022,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,Yes,No,CR2214250,US-2015-154123
07 November 2022,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,No,CR1338985,US-2015-151707
21 May 2020,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR0170715,US-2015-156369
09 February 2019,Poor Product or Service,Branch,Closed with explanation,Yes,No,CR1874408,US-2015-150875
09 May 2023,Long wait on hold,Phone Support,In progress,Yes,,CR2398557,US-2015-158496
18 March 2021,Uninterested Service Rep,Mobile App,Closed with monetary relief,Yes,No,CR2239563,US-2015-158476
08 May 2023,Poor Product or Service,Branch,Closed with explanation,Yes,Yes,CR1823106,US-2015-158847
28 February 2023,Poor Product or Service,Branch,Closed with explanation,Yes,No,CR2109011,US-2015-153105
21 August 2020,Lack of Follow Up,Branch,Closed with explanation,Yes,No,CR0090075,US-2015-151025
18 April 2023,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1773807,US-2015-154047
24 October 2021,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR1167964,US-2015-159570
24 June 2020,Poor Product or Service,Phone Support,Closed with explanation,Yes,Yes,CR0420867,US-2015-158196
09 September 2019,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR1555127,US-2015-154458
12 November 2022,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR1916042,US-2015-150940
24 November 2022,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR2029764,US-2015-153273
11 September 2021,Lack of Follow Up,Branch,Closed with monetary relief,Yes,No,CR0256410,US-2015-154477
15 September 2022,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR2250123,US-2015-159787
11 March 2019,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,Yes,No,CR1484298,US-2015-155773
13 May 2022,Long wait on hold,Mobile App,Closed with explanation,Yes,No,CR0888321,US-2015-151438
12 January 2023,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR0644531,US-2015-159268
19 February 2019,Long wait on hold,Mobile App,Closed with explanation,Yes,No,CR1839721,US-2015-153200
13 February 2020,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,No,CR2036377,US-2015-160238
07 June 2021,Long wait on hold,Phone Support,Closed with explanation,Yes,Yes,CR1762648,US-2015-155605
17 October 2022,No First Call Resolution,Branch,Closed with explanation,Yes,No,CR0659192,US-2015-156616
11 July 2023,Poor Product or Service,Phone Support,Closed with explanation,Yes,No,CR1484603,US-2015-154015
19 March 2019,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1843712,US-2015-159028
16 March 2021,Poor Product or Service,Email,Closed with monetary relief,Yes,,CR2362994,US-2015-152841
17 May 2021,Long wait on hold,Email,Closed with monetary relief,Yes,No,CR1633056,US-2015-156424
15 February 2019,Uninterested Service Rep,Mobile App,Closed with monetary relief,Yes,No,CR0428430,US-2015-156417
11 September 2021,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,No,CR1640566,US-2015-154477
03 January 2022,Lack of Follow Up,Mobile App,Closed with explanation,Yes,Yes,CR1752931,US-2015-155747
03 April 2020,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,,CR2378054,US-2015-160259
05 April 2020,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,Yes,CR1182664,US-2015-160180
18 March 2020,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,Yes,No,CR2017443,US-2015-159665
22 September 2020,Long wait on hold,Email,Closed with monetary relief,Yes,No,CR2159818,US-2015-158112
18 December 2019,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR2011299,US-2015-152670
12 July 2021,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR1750873,US-2015-157795
12 January 2023,Long wait on hold,Phone Support,Closed with explanation,Yes,Yes,CR1483597,US-2015-159268
05 December 2019,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR1384077,US-2015-160412
28 May 2022,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR0927871,US-2015-157274
16 August 2021,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,Yes,CR1557863,US-2015-151047
18 April 2021,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,Yes,CR2238023,US-2015-156123
11 August 2022,Unavailable or Out of Stock Product,Mobile App,Closed with non-monetary relief,Yes,Yes,CR0097731,US-2015-158624
27 November 2021,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,Yes,CR2166955,US-2015-158117
18 November 2022,Lack of Follow Up,Email,Closed with explanation,Yes,No,CR2106553,US-2015-158327
29 March 2020,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR0257240,US-2015-155329
02 August 2020,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1387408,US-2015-152288
30 June 2022,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1467137,US-2015-156450
08 November 2021,Uninterested Service Rep,Branch,Closed with monetary relief,Yes,No,CR1919975,US-2015-155235
01 September 2020,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,Yes,No,CR0739756,US-2015-151138
17 May 2020,Poor Product or Service,Phone Support,Closed with explanation,Yes,No,CR1580111,US-2015-158326
29 August 2023,No First Call Resolution,Branch,Closed with monetary relief,Yes,No,CR1007303,US-2015-155484
25 March 2021,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR2055729,US-2015-158843
01 September 2020,Uninterested Service Rep,Email,Closed with explanation,Yes,Yes,CR0146975,US-2015-151138
27 August 2019,Poor Product or Service,Email,Closed with explanation,Yes,No,CR2118493,US-2015-152237
14 April 2023,Long wait on hold,Phone Support,Closed with non-monetary relief,Yes,No,CR2184843,US-2015-158330
04 May 2023,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1769933,US-2015-152124
09 April 2019,New Product or Feature Request,Phone Support,Closed with explanation,Yes,No,CR1941546,US-2015-158772
27 July 2023,Lack of Follow Up,Branch,Closed with explanation,Yes,No,CR0480773,US-2015-156668
31 October 2022,Lack of Follow Up,Branch,Closed with explanation,Yes,Yes,CR1675811,US-2015-151352
28 January 2020,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,No,CR1845683,US-2015-157836
24 July 2021,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR2189595,US-2015-159291
13 July 2023,No First Call Resolution,Branch,Closed with explanation,Yes,No,CR1313382,US-2015-153390
24 December 2021,Poor Product or Service,Branch,Closed with explanation,Yes,No,CR2275295,US-2015-157624
08 January 2021,No First Call Resolution,Phone Support,Closed with non-monetary relief,Yes,No,CR1334090,US-2015-158137
07 April 2023,Making Customers Repeat Their Problem,Branch,In progress,Yes,,CR2397006,US-2015-159699
27 October 2022,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR0315956,US-2015-159252
11 May 2019,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR1563107,US-2015-158730
10 May 2020,Uninterested Service Rep,Branch,Closed with explanation,Yes,No,CR1414538,US-2015-156143
29 October 2021,Lack of Follow Up,Mobile App,Closed with monetary relief,Yes,No,CR1874223,US-2015-151294
01 July 2021,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR1497595,US-2015-157905
27 February 2023,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR2124324,US-2015-155518
12 September 2022,Lack of Follow Up,Phone Support,Closed with explanation,Yes,No,CR1509134,US-2015-153943
14 January 2023,Uninterested Service Rep,Phone Support,In progress,Yes,,CR2399597,US-2015-157399
16 November 2022,Long wait on hold,Mobile App,Closed with explanation,Yes,Yes,CR1874694,US-2015-152085
12 February 2022,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR2225814,US-2015-158296
07 December 2019,Long wait on hold,Branch,Closed with explanation,Yes,Yes,CR2209979,US-2015-154486
04 May 2020,No First Call Resolution,Branch,Closed with monetary relief,Yes,No,CR1344050,US-2015-158470
26 July 2023,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR1693184,US-2015-153620
20 January 2022,No First Call Resolution,Mobile App,Closed with non-monetary relief,Yes,No,CR0785224,US-2015-156626
03 April 2019,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR0327012,US-2015-151621
04 June 2023,Long wait on hold,Branch,Closed with explanation,Yes,No,CR2200226,US-2015-157072
12 April 2021,Poor Product or Service,Phone Support,Closed with monetary relief,Yes,No,CR2283829,US-2015-158474
16 February 2019,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR1780662,US-2015-151738
14 March 2019,Long wait on hold,Mobile App,Closed with explanation,Yes,No,CR1418533,US-2015-155369
24 October 2020,New Product or Feature Request,Phone Support,Closed with explanation,Yes,Yes,CR1321268,US-2015-153668
27 July 2021,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR0182259,US-2015-155016
07 March 2022,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR1590438,US-2015-160543
13 December 2020,Unavailable or Out of Stock Product,Branch,Closed with non-monetary relief,Yes,No,CR1957744,US-2015-158792
19 August 2021,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1587313,US-2015-156300
27 May 2022,New Product or Feature Request,Phone Support,Closed with explanation,Yes,No,CR2058582,US-2015-157250
21 March 2020,Lack of Follow Up,Phone Support,Closed with explanation,Yes,No,CR0500647,US-2015-158532
05 September 2019,Poor Product or Service,Mobile App,Closed with explanation,Yes,Yes,CR1020704,US-2015-160500
25 September 2021,No First Call Resolution,Phone Support,Closed with monetary relief,Yes,No,CR1882476,US-2015-156041
25 January 2021,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR2241469,US-2015-158936
12 August 2019,Long wait on hold,Branch,Closed with explanation,Yes,Yes,CR2241293,US-2015-156516
08 March 2020,No First Call Resolution,Email,Closed with non-monetary relief,Yes,No,CR1824920,US-2015-158006
29 February 2020,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1823750,US-2015-152898
06 May 2023,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,Yes,CR0644906,US-2015-157488
13 June 2021,No First Call Resolution,Email,Closed with explanation,Yes,No,CR1484141,US-2015-158710
20 November 2021,Lack of Follow Up,Mobile App,Closed with monetary relief,Yes,No,CR0255281,US-2015-155979
24 August 2023,No First Call Resolution,Branch,Closed with explanation,Yes,No,CR2165760,US-2015-159910
11 February 2023,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1764286,US-2015-159566
05 August 2023,Long wait on hold,Mobile App,Closed with non-monetary relief,Yes,Yes,CR0094377,US-2015-160492
28 August 2019,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,No,CR1633043,US-2015-153766
02 July 2022,Long wait on hold,Email,Closed with explanation,Yes,Yes,CR0922473,US-2015-156030
16 January 2023,Unavailable or Out of Stock Product,Phone Support,Closed with monetary relief,Yes,,CR2368744,US-2015-153409
31 December 2021,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1385114,US-2015-152171
28 August 2019,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR2106806,US-2015-153348
16 August 2022,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR1554953,US-2015-152174
27 June 2020,Lack of Follow Up,Phone Support,Closed with explanation,Yes,No,CR1474895,US-2015-152219
15 November 2021,New Product or Feature Request,Mobile App,Closed with explanation,Yes,No,CR2024387,US-2015-152658
02 July 2022,Uninterested Service Rep,Phone Support,Closed with non-monetary relief,Yes,No,CR1917514,US-2015-160227
16 June 2022,Long wait on hold,Mobile App,Closed with explanation,Yes,No,CR2239685,US-2015-153180
06 May 2020,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR1751316,US-2015-159289
22 May 2020,Lack of Follow Up,Email,Closed with explanation,Yes,No,CR1839619,US-2015-156898
13 May 2023,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR0426655,US-2015-156537
31 May 2022,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,Yes,No,CR1182076,US-2015-159948
11 September 2023,Poor Product or Service,Email,Closed with monetary relief,Yes,No,CR2019528,US-2015-152845
05 October 2021,Uninterested Service Rep,Phone Support,Closed with monetary relief,Yes,Yes,CR2053856,US-2015-151454
01 October 2019,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR0338363,US-2015-152564
20 April 2019,Poor Product or Service,Email,Closed with explanation,Yes,No,CR0789608,US-2015-155667
31 May 2020,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,,CR2398513,US-2015-152978
17 March 2020,New Product or Feature Request,Mobile App,Closed with explanation,Yes,Yes,CR2254957,US-2015-150684
02 February 2022,No First Call Resolution,Branch,Closed with explanation,Yes,No,CR1875796,US-2015-150654
09 July 2021,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1509215,US-2015-152386
29 May 2020,Long wait on hold,Mobile App,Closed with explanation,Yes,Yes,CR1037284,US-2015-153236
03 July 2023,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR0499118,US-2015-157352
15 July 2022,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,Yes,No,CR1881766,US-2015-153859
13 March 2020,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1422293,US-2015-156393
13 April 2022,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR2209088,US-2015-151590
05 November 2020,Long wait on hold,Phone Support,Closed with explanation,Yes,Yes,CR1351891,US-2015-151470
01 June 2023,New Product or Feature Request,Branch,Closed with explanation,Yes,No,CR0185270,US-2015-153285
16 November 2019,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,No,CR2291907,US-2015-152158
27 January 2022,Poor Product or Service,Email,Closed with monetary relief,Yes,Yes,CR1325033,US-2015-151982
06 September 2023,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,Yes,No,CR2124296,US-2015-153546
13 July 2020,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR2059861,US-2015-155036
21 April 2019,No First Call Resolution,Email,Closed with explanation,Yes,Yes,CR1693351,US-2015-158885
06 September 2021,Poor Product or Service,Mobile App,Closed with explanation,Yes,Yes,CR1590106,US-2015-154952
07 December 2022,Poor Product or Service,Mobile App,Closed with monetary relief,Yes,Yes,CR1592064,US-2015-157752
12 February 2022,New Product or Feature Request,Email,Closed with monetary relief,Yes,No,CR1959194,US-2015-158296
05 September 2023,Long wait on hold,Email,Closed with explanation,Yes,Yes,CR1786858,US-2015-153768
11 September 2022,Lack of Follow Up,Branch,Closed with monetary relief,Yes,No,CR2053433,US-2015-158339
17 August 2020,Long wait on hold,Email,Closed with monetary relief,Yes,No,CR1670934,US-2015-155105
05 September 2022,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR1874363,US-2015-154325
21 July 2020,New Product or Feature Request,Phone Support,Closed with monetary relief,Yes,No,CR0454551,US-2015-158268
31 January 2021,Lack of Follow Up,Phone Support,Closed with explanation,Yes,Yes,CR1826636,US-2015-160144
20 June 2022,Poor Product or Service,Mobile App,Closed with non-monetary relief,Yes,No,CR1496383,US-2015-155365
28 August 2019,Long wait on hold,Branch,Closed with explanation,Yes,Yes,CR0725940,US-2015-155542
27 March 2021,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR2272079,US-2015-156044
17 September 2022,Poor Product or Service,Mobile App,Closed with explanation,Yes,No,CR1942110,US-2015-156755
05 October 2020,Long wait on hold,Branch,Closed with explanation,Yes,No,CR0314152,US-2015-159772
27 April 2023,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR2187824,US-2015-152792
24 November 2021,New Product or Feature Request,Email,Closed with monetary relief,Yes,No,CR2140531,US-2015-153388
14 June 2021,Poor Product or Service,Mobile App,Closed with explanation,Yes,No,CR1323862,US-2015-159770
12 January 2022,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR1414194,US-2015-153642
24 December 2021,New Product or Feature Request,Branch,Closed with explanation,Yes,No,CR1544742,US-2015-155661
08 March 2019,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,Yes,Yes,CR0144417,US-2015-153197
23 January 2022,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,Yes,CR0997116,US-2015-155358
20 June 2023,Lack of Follow Up,Phone Support,Closed with explanation,Yes,No,CR2119080,US-2015-157925
17 October 2022,Poor Product or Service,Email,Closed with explanation,Yes,No,CR1768779,US-2015-160229
17 November 2019,Lack of Follow Up,Phone Support,Closed with non-monetary relief,Yes,No,CR1578014,US-2015-156589
28 August 2023,New Product or Feature Request,Email,In progress,Yes,,CR2394492,US-2015-151881
05 December 2022,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,No,CR1737466,US-2015-155511
29 August 2023,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1828100,US-2015-155484
13 May 2020,Uninterested Service Rep,Mobile App,Closed with monetary relief,Yes,No,CR1739146,US-2015-156914
04 May 2022,No First Call Resolution,Mobile App,Closed with non-monetary relief,Yes,No,CR2106749,US-2015-150842
07 June 2022,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1434539,US-2015-155683
10 July 2022,Lack of Follow Up,Branch,Closed with monetary relief,Yes,No,CR2212245,US-2015-154097
18 October 2019,Poor Product or Service,Mobile App,In progress,Yes,,CR2403665,US-2015-160475
23 November 2020,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR2295998,US-2015-157730
15 May 2023,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1328481,US-2015-155062
01 March 2023,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR1712593,US-2015-155613
