date_received,issue category,channel,company_response,resolved_date,timely_response,consumer_disputed,complaint_id,order_id
"Sunday, September 27, 2020",Lack of Follow Up,Email,Closed with explanation,"Thursday, December 9, 2021",TRUE,,CR2348744,US-2015-152389
"Wednesday, December 30, 2020",Unavailable or Out of Stock Product,Email,Closed with explanation,"Sunday, July 11, 2021",TRUE,,CR2344749,US-2015-151875
"Tuesday, March 29, 2022",Lack of Follow Up,Mobile App,Closed with explanation,"Monday, January 17, 2022",TRUE,TRUE,CR0869660,US-2015-155316
"Friday, February 25, 2022",Lack of Follow Up,Mobile App,Closed with monetary relief,"Saturday, May 1, 2021",TRUE,FALSE,CR1744554,US-2015-154259
"Tuesday, June 6, 2023",New Product or Feature Request,Mobile App,Closed,"Wednesday, May 17, 2023",TRUE,FALSE,CR1475200,US-2015-152984
"Sunday, December 4, 2022",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Tuesday, July 21, 2020",TRUE,FALSE,CR1142808,US-2015-156429
"Saturday, March 5, 2022",Uninterested Service Rep,Phone Support,Closed with monetary relief,"Wednesday, July 21, 2021",TRUE,FALSE,CR2228854,US-2015-160211
"Friday, May 6, 2022",Uninterested Service Rep,Branch,Closed with monetary relief,"Sunday, August 27, 2023",TRUE,FALSE,CR1360875,US-2015-158656
"Saturday, November 13, 2021",Lack of Follow Up,Mobile App,Closed with non-monetary relief,"Saturday, July 18, 2020",TRUE,FALSE,CR1550513,US-2015-153191
"Sunday, January 9, 2022",Uninterested Service Rep,Branch,Closed with explanation,"Sunday, May 22, 2022",TRUE,TRUE,CR2151317,US-2015-157548
"Saturday, October 29, 2022",Uninterested Service Rep,Email,Closed with explanation,"Friday, May 28, 2021",TRUE,FALSE,CR1148113,US-2015-157339
"Monday, March 22, 2021",No First Call Resolution,Branch,Closed with explanation,"Wednesday, June 9, 2021",TRUE,FALSE,CR2004264,US-2015-157903
"Tuesday, April 12, 2022",Poor Product or Service,Mobile App,Closed with monetary relief,"Saturday, April 8, 2023",TRUE,FALSE,CR1734737,US-2015-159595
"Saturday, February 15, 2020",Lack of Follow Up,Email,Closed with monetary relief,"Saturday, February 29, 2020",TRUE,FALSE,CR2230146,US-2015-158182
"Wednesday, March 31, 2021",Lack of Follow Up,Mobile App,Closed with explanation,"Saturday, April 22, 2023",TRUE,FALSE,CR1942158,US-2015-158226
"Thursday, January 4, 2024",New Product or Feature Request,Mobile App,Closed with explanation,"Friday, August 7, 2020",TRUE,FALSE,CR1631397,US-2015-158289
"Saturday, February 26, 2022",Lack of Follow Up,Mobile App,Closed with monetary relief,"Thursday, September 30, 2021",TRUE,FALSE,CR1741597,US-2015-159174
"Sunday, November 1, 2020",New Product or Feature Request,Phone Support,Closed with explanation,"Wednesday, November 24, 2021",TRUE,TRUE,CR0574864,US-2015-158712
"Monday, February 21, 2022",Lack of Follow Up,Mobile App,Closed with non-monetary relief,"Thursday, October 1, 2020",TRUE,FALSE,CR1455862,US-2015-159862
"Wednesday, July 20, 2022",Long wait on hold,Mobile App,Closed with non-monetary relief,"Sunday, October 31, 2021",TRUE,TRUE,CR1550303,US-2015-152187
"Saturday, August 7, 2021",Lack of Follow Up,Branch,Closed with relief,"Sunday, December 29, 2019",TRUE,TRUE,CR0054494,US-2015-154843
"Monday, October 31, 2022",Uninterested Service Rep,Email,Closed with explanation,"Friday, February 10, 2023",TRUE,FALSE,CR1739982,US-2015-155811
"Sunday, October 11, 2020",No First Call Resolution,Mobile App,Closed with explanation,"Tuesday, September 22, 2020",TRUE,FALSE,CR1452043,US-2015-157526
"Sunday, May 7, 2023",Poor Product or Service,Branch,Closed with explanation,"Friday, November 12, 2021",TRUE,FALSE,CR0865818,US-2015-154918
"Friday, September 16, 2022",Uninterested Service Rep,Mobile App,Closed with explanation,"Saturday, October 15, 2022",TRUE,FALSE,CR2102776,US-2015-160304
"Friday, March 12, 2021",Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,"Thursday, March 18, 2021",TRUE,FALSE,CR2104114,US-2015-158577
"Wednesday, April 13, 2022",Poor Product or Service,Email,Closed with explanation,"Tuesday, May 5, 2020",TRUE,TRUE,CR1910899,US-2015-153582
"Friday, April 23, 2021",Long wait on hold,Mobile App,Closed with explanation,"Thursday, September 28, 2023",TRUE,TRUE,CR0229326,US-2015-155762
"Monday, June 22, 2020",Lack of Follow Up,Email,Closed with explanation,"Tuesday, July 6, 2021",TRUE,FALSE,CR1630423,US-2015-158156
"Monday, January 13, 2020",Uninterested Service Rep,Branch,Closed with monetary relief,"Monday, May 30, 2022",TRUE,FALSE,CR0229354,US-2015-158196
"Tuesday, July 12, 2022",Poor Product or Service,Mobile App,Closed with relief,"Tuesday, February 4, 2020",TRUE,FALSE,CR0044568,US-2015-159626
"Sunday, May 17, 2020",Uninterested Service Rep,Mobile App,Closed with explanation,"Sunday, November 14, 2021",TRUE,TRUE,CR0567779,US-2015-152053
"Wednesday, November 1, 2023",Uninterested Service Rep,Branch,In-Progress,,FALSE,FALSE,CR2149200,US-2015-151319
"Tuesday, February 21, 2023",Making Customers Repeat Their Problem,Email,Closed with monetary relief,"Friday, June 10, 2022",TRUE,FALSE,CR0404275,US-2015-159849
"Saturday, January 18, 2020",Lack of Follow Up,Email,Closed with explanation,"Monday, June 1, 2020",TRUE,TRUE,CR0418611,US-2015-154708
"Friday, August 27, 2021",Long wait on hold,Email,Closed with explanation,"Monday, April 17, 2023",TRUE,FALSE,CR1377630,US-2015-160175
"Monday, December 11, 2023",Lack of Follow Up,Phone Support,Closed with explanation,"Friday, November 19, 2021",TRUE,FALSE,CR2236702,US-2015-158172
"Wednesday, March 8, 2023",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Wednesday, September 23, 2020",FALSE,TRUE,CR0091084,US-2015-158595
"Monday, May 16, 2022",Lack of Follow Up,Branch,Closed with explanation,"Sunday, July 23, 2023",TRUE,FALSE,CR2157111,US-2015-155081
"Saturday, February 19, 2022",Poor Product or Service,Mobile App,Closed with explanation,"Saturday, August 12, 2023",TRUE,,CR1756498,US-2015-157915
"Tuesday, September 15, 2020",Poor Product or Service,Branch,Closed with explanation,"Wednesday, February 17, 2021",TRUE,FALSE,CR0245763,US-2015-156349
"Thursday, December 7, 2023",Unavailable or Out of Stock Product,Mobile App,Closed with explanation,"Thursday, August 17, 2023",TRUE,FALSE,CR1484197,US-2015-150978
"Tuesday, June 16, 2020",Lack of Follow Up,Branch,Closed with explanation,"Monday, April 17, 2023",TRUE,FALSE,CR2107839,US-2015-151113
"Friday, March 20, 2020",New Product or Feature Request,Email,Closed with non-monetary relief,"Monday, July 24, 2023",TRUE,FALSE,CR1554501,US-2015-156870
"Wednesday, November 24, 2021",New Product or Feature Request,Phone Support,Closed with explanation,"Saturday, May 7, 2022",TRUE,FALSE,CR0887544,US-2015-153103
"Thursday, January 6, 2022",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Saturday, February 26, 2022",TRUE,TRUE,CR0603229,US-2015-150997
"Saturday, July 17, 2021",Long wait on hold,Mobile App,Closed with explanation,"Tuesday, March 23, 2021",TRUE,TRUE,CR1165956,US-2015-151649
"Thursday, January 11, 2024",Poor Product or Service,Email,Closed with monetary relief,"Sunday, May 8, 2022",TRUE,FALSE,CR1750681,US-2015-156740
"Saturday, September 26, 2020",Poor Product or Service,Branch,Closed with monetary relief,"Monday, April 6, 2020",TRUE,FALSE,CR1459299,US-2015-152743
"Tuesday, August 31, 2021",Lack of Follow Up,Phone Support,Closed with explanation,"Saturday, June 4, 2022",TRUE,,CR2349389,US-2015-155323
"Monday, December 12, 2022",Unavailable or Out of Stock Product,Mobile App,Closed with explanation,"Wednesday, December 7, 2022",TRUE,FALSE,CR1834278,US-2015-153177
"Thursday, November 19, 2020",Poor Product or Service,Email,Closed with explanation,"Monday, May 31, 2021",TRUE,FALSE,CR2015196,US-2015-152990
"Tuesday, March 3, 2020",Unavailable or Out of Stock Product,Email,Closed with explanation,"Monday, October 5, 2020",TRUE,TRUE,CR1912592,US-2015-155553
"Sunday, December 13, 2020",Lack of Follow Up,Phone Support,Closed with non-monetary relief,"Tuesday, December 31, 2019",TRUE,FALSE,CR1630524,US-2015-154394
"Friday, August 5, 2022",Uninterested Service Rep,Email,Closed with explanation,"Monday, August 9, 2021",TRUE,FALSE,CR2011177,US-2015-152694
"Thursday, December 22, 2022",Lack of Follow Up,Phone Support,Closed with non-monetary relief,"Friday, April 10, 2020",TRUE,FALSE,CR1775172,US-2015-159079
"Wednesday, February 3, 2021",Lack of Follow Up,Phone Support,Closed with explanation,"Saturday, August 14, 2021",TRUE,TRUE,CR0121560,US-2015-151960
"Sunday, July 16, 2023",Making Customers Repeat Their Problem,Phone Support,Closed with explanation,"Thursday, March 5, 2020",TRUE,FALSE,CR1494677,US-2015-158687
"Friday, February 11, 2022",Poor Product or Service,Email,Closed with explanation,"Monday, November 28, 2022",TRUE,FALSE,CR0277914,US-2015-152087
"Saturday, December 31, 2022",Uninterested Service Rep,Email,Closed with monetary relief,"Monday, January 13, 2020",TRUE,FALSE,CR2112926,US-2015-155025
"Monday, March 8, 2021",Poor Product or Service,Email,Closed with monetary relief,"Tuesday, January 17, 2023",TRUE,FALSE,CR1193863,US-2015-155691
"Tuesday, July 28, 2020",Poor Product or Service,Email,Closed with monetary relief,"Friday, April 14, 2023",TRUE,FALSE,CR2032168,US-2015-159604
"Tuesday, May 31, 2022",Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,"Saturday, May 22, 2021",TRUE,FALSE,CR1752002,US-2015-153113
"Sunday, August 28, 2022",Uninterested Service Rep,Branch,Closed with non-monetary relief,"Friday, January 20, 2023",TRUE,TRUE,CR1645965,US-2015-153831
"Tuesday, March 16, 2021",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Friday, June 26, 2020",TRUE,FALSE,CR1565229,US-2015-153441
"Friday, August 18, 2023",New Product or Feature Request,Mobile App,Closed with monetary relief,"Monday, June 7, 2021",TRUE,FALSE,CR0437926,US-2015-160146
"Friday, September 24, 2021",Unavailable or Out of Stock Product,Email,Closed with explanation,"Wednesday, September 23, 2020",TRUE,TRUE,CR2081319,US-2015-153000
"Friday, November 27, 2020",Uninterested Service Rep,Email,Closed with explanation,"Friday, December 17, 2021",TRUE,FALSE,CR1850371,US-2015-157540
"Wednesday, September 20, 2023",No First Call Resolution,Phone Support,Closed with explanation,"Monday, November 30, 2020",TRUE,FALSE,CR2258552,US-2015-159554
"Friday, September 9, 2022",Making Customers Repeat Their Problem,Phone Support,Closed with explanation,"Saturday, December 26, 2020",TRUE,FALSE,CR1919514,US-2015-160124
"Tuesday, January 12, 2021",Unavailable or Out of Stock Product,Email,Closed with non-monetary relief,"Saturday, August 27, 2022",TRUE,,CR2379569,US-2015-152390
"Friday, June 12, 2020",Uninterested Service Rep,Phone Support,Closed with explanation,"Tuesday, March 21, 2023",TRUE,FALSE,CR1490998,US-2015-151543
"Thursday, January 14, 2021",Uninterested Service Rep,Branch,In-Progress,,FALSE,FALSE,CR1389361,US-2015-154491
"Wednesday, February 8, 2023",Lack of Follow Up,Branch,Closed with explanation,"Saturday, June 19, 2021",TRUE,TRUE,CR2172002,US-2015-154400
"Saturday, October 16, 2021",Making Customers Repeat Their Problem,Branch,Closed with monetary relief,"Thursday, September 30, 2021",TRUE,FALSE,CR0947307,US-2015-152334
"Friday, November 10, 2023",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Tuesday, May 25, 2021",TRUE,FALSE,CR0688050,US-2015-158159
"Thursday, May 14, 2020",Unavailable or Out of Stock Product,Branch,Closed with explanation,"Sunday, May 29, 2022",TRUE,FALSE,CR2147799,US-2015-153046
"Friday, June 17, 2022",Long wait on hold,Email,Closed with explanation,"Wednesday, September 20, 2023",TRUE,FALSE,CR1750285,US-2015-151083
"Tuesday, December 19, 2023",No First Call Resolution,Mobile App,Closed with explanation,"Tuesday, February 18, 2020",TRUE,FALSE,CR0230239,US-2015-152443
"Monday, October 5, 2020",New Product or Feature Request,Branch,Closed with explanation,"Tuesday, March 2, 2021",TRUE,TRUE,CR1159924,US-2015-159141
"Saturday, August 6, 2022",No First Call Resolution,Email,Closed with explanation,"Thursday, May 11, 2023",TRUE,FALSE,CR1943347,US-2015-153189
"Friday, August 6, 2021",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Saturday, September 17, 2022",TRUE,FALSE,CR1550838,US-2015-156261
"Tuesday, August 3, 2021",Long wait on hold,Mobile App,Closed with non-monetary relief,"Saturday, April 25, 2020",TRUE,FALSE,CR2235451,US-2015-151631
"Wednesday, June 7, 2023",New Product or Feature Request,Phone Support,Closed with explanation,"Sunday, February 5, 2023",TRUE,,CR2350802,US-2015-158029
"Monday, January 31, 2022",New Product or Feature Request,Phone Support,Closed with explanation,"Friday, November 27, 2020",TRUE,TRUE,CR2155262,US-2015-153249
"Thursday, March 18, 2021",No First Call Resolution,Mobile App,Closed with explanation,"Saturday, January 16, 2021",TRUE,FALSE,CR1630364,US-2015-158815
"Wednesday, January 20, 2021",Long wait on hold,Phone Support,Closed with monetary relief,"Tuesday, October 3, 2023",TRUE,FALSE,CR1371826,US-2015-153677
"Sunday, March 12, 2023",No First Call Resolution,Phone Support,Closed with explanation,"Sunday, March 22, 2020",TRUE,FALSE,CR2104830,US-2015-157150
"Thursday, December 31, 2020",Poor Product or Service,Email,Closed with monetary relief,"Saturday, September 26, 2020",TRUE,FALSE,CR0418479,US-2015-159279
"Saturday, September 24, 2022",Unavailable or Out of Stock Product,Phone Support,Closed with explanation,"Tuesday, August 24, 2021",TRUE,TRUE,CR1909608,US-2015-156849
"Wednesday, October 28, 2020",Poor Product or Service,Branch,Closed with explanation,"Wednesday, March 8, 2023",TRUE,FALSE,CR0587861,US-2015-154383
"Tuesday, January 28, 2020",Long wait on hold,Branch,Closed with explanation,"Thursday, March 19, 2020",TRUE,FALSE,CR1481105,US-2015-151369
"Monday, May 8, 2023",Long wait on hold,Phone Support,Closed with explanation,"Saturday, November 26, 2022",TRUE,TRUE,CR1756563,US-2015-159175
"Monday, September 4, 2023",Uninterested Service Rep,Phone Support,Closed with explanation,"Friday, December 18, 2020",TRUE,FALSE,CR2009490,US-2015-151686
"Saturday, October 16, 2021",Unavailable or Out of Stock Product,Email,Closed with explanation,"Monday, November 23, 2020",TRUE,FALSE,CR1835332,US-2015-156903
"Saturday, February 18, 2023",Uninterested Service Rep,Mobile App,Closed with monetary relief,"Wednesday, October 14, 2020",FALSE,TRUE,CR0089542,US-2015-155105
"Monday, March 22, 2021",Long wait on hold,Mobile App,Closed with non-monetary relief,"Friday, March 17, 2023",TRUE,FALSE,CR1455861,US-2015-155604
"Monday, March 6, 2023",Uninterested Service Rep,Phone Support,Closed with explanation,"Tuesday, April 7, 2020",TRUE,TRUE,CR0871335,US-2015-160490
"Wednesday, January 17, 2024",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Monday, August 9, 2021",TRUE,FALSE,CR0949403,US-2015-155443
"Tuesday, August 25, 2020",Poor Product or Service,Email,Closed with monetary relief,"Friday, January 28, 2022",TRUE,FALSE,CR2035955,US-2015-154436
"Tuesday, September 15, 2020",New Product or Feature Request,Mobile App,Closed with monetary relief,"Monday, September 28, 2020",TRUE,FALSE,CR1854125,US-2015-154449
"Tuesday, February 11, 2020",Unavailable or Out of Stock Product,Mobile App,Closed with explanation,"Saturday, April 23, 2022",TRUE,FALSE,CR0440277,US-2015-155580
"Tuesday, June 29, 2021",Lack of Follow Up,Mobile App,Closed with explanation,"Thursday, December 2, 2021",TRUE,FALSE,CR1784697,US-2015-160521
"Saturday, May 20, 2023",Unavailable or Out of Stock Product,Branch,Closed with explanation,"Sunday, September 4, 2022",TRUE,FALSE,CR2083797,US-2015-154209
"Saturday, April 11, 2020",No First Call Resolution,Phone Support,Closed with explanation,"Monday, November 1, 2021",TRUE,FALSE,CR1249514,US-2015-154769
"Saturday, August 26, 2023",Unavailable or Out of Stock Product,Branch,Closed with monetary relief,"Wednesday, October 19, 2022",TRUE,,CR2381178,US-2015-154479
"Friday, February 25, 2022",Uninterested Service Rep,Email,Closed with explanation,"Friday, June 3, 2022",TRUE,FALSE,CR1648334,US-2015-151619
"Thursday, April 15, 2021",Making Customers Repeat Their Problem,Email,Closed with non-monetary relief,"Sunday, April 25, 2021",TRUE,FALSE,CR1498821,US-2015-155731
"Friday, January 31, 2020",Unavailable or Out of Stock Product,Branch,Closed with explanation,"Saturday, September 4, 2021",TRUE,FALSE,CR0689939,US-2015-155767
"Tuesday, January 5, 2021",Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,"Friday, January 27, 2023",TRUE,FALSE,CR1495257,US-2015-152709
"Saturday, August 26, 2023",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Wednesday, September 22, 2021",TRUE,FALSE,CR1390944,US-2015-158718
"Tuesday, February 25, 2020",No First Call Resolution,Branch,Closed with monetary relief,"Saturday, March 20, 2021",TRUE,FALSE,CR2259376,US-2015-152973
"Tuesday, January 4, 2022",New Product or Feature Request,Email,Closed with explanation,"Thursday, April 7, 2022",TRUE,TRUE,CR0283220,US-2015-153746
"Saturday, November 18, 2023",Uninterested Service Rep,Mobile App,Closed with explanation,"Friday, October 8, 2021",TRUE,FALSE,CR2111636,US-2015-156480
"Sunday, May 14, 2023",New Product or Feature Request,Phone Support,Closed with explanation,"Wednesday, January 13, 2021",TRUE,TRUE,CR1567700,US-2015-155131
"Wednesday, April 1, 2020",Unavailable or Out of Stock Product,Email,Closed with monetary relief,"Monday, January 18, 2021",TRUE,FALSE,CR0130233,US-2015-157394
"Friday, December 17, 2021",Unavailable or Out of Stock Product,Email,Closed with explanation,"Saturday, February 15, 2020",TRUE,FALSE,CR1930395,US-2015-156887
"Sunday, September 4, 2022",Uninterested Service Rep,Mobile App,Closed with explanation,"Saturday, August 27, 2022",TRUE,FALSE,CR2172937,US-2015-154791
"Thursday, June 15, 2023",Unavailable or Out of Stock Product,Mobile App,Closed with explanation,"Tuesday, October 31, 2023",TRUE,FALSE,CR1755925,US-2015-152690
"Monday, June 27, 2022",No First Call Resolution,Phone Support,Closed with non-monetary relief,"Saturday, August 15, 2020",TRUE,FALSE,CR1496382,US-2015-150767
"Tuesday, October 10, 2023",No First Call Resolution,Branch,Closed with explanation,"Friday, June 2, 2023",TRUE,FALSE,CR1870285,US-2015-153647
"Saturday, January 14, 2023",Uninterested Service Rep,Mobile App,Closed with explanation,"Thursday, December 17, 2020",TRUE,FALSE,CR2271991,US-2015-153252
"Thursday, July 29, 2021",No First Call Resolution,Mobile App,Closed with explanation,"Thursday, February 20, 2020",TRUE,TRUE,CR1305593,US-2015-154772
"Tuesday, November 14, 2023",Poor Product or Service,Branch,Closed with explanation,"Wednesday, April 28, 2021",TRUE,FALSE,CR1544229,US-2015-152636
"Friday, July 9, 2021",Long wait on hold,Email,Closed with explanation,"Saturday, May 1, 2021",TRUE,TRUE,CR1415743,US-2015-160164
"Monday, January 18, 2021",Long wait on hold,Branch,Closed with explanation,"Sunday, August 6, 2023",TRUE,TRUE,CR0313086,US-2015-153532
"Thursday, July 23, 2020",Long wait on hold,Branch,Closed with monetary relief,"Wednesday, June 15, 2022",TRUE,FALSE,CR0138644,US-2015-158754
"Tuesday, February 4, 2020",Unavailable or Out of Stock Product,Phone Support,Closed with monetary relief,"Saturday, January 14, 2023",TRUE,FALSE,CR2132541,US-2015-151097
"Sunday, August 8, 2021",New Product or Feature Request,Email,Closed with explanation,"Sunday, July 17, 2022",TRUE,FALSE,CR1941376,US-2015-159225
"Thursday, January 7, 2021",No First Call Resolution,Mobile App,Closed with explanation,"Friday, October 22, 2021",TRUE,,CR2394945,US-2015-151517
"Saturday, August 5, 2023",Poor Product or Service,Email,Closed with explanation,"Friday, April 7, 2023",TRUE,TRUE,CR1577468,US-2015-151119
"Wednesday, September 21, 2022",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Monday, October 17, 2022",TRUE,FALSE,CR1660050,US-2015-159361
"Friday, November 4, 2022",No First Call Resolution,Email,Closed with explanation,"Saturday, March 28, 2020",TRUE,FALSE,CR1766940,US-2015-158986
"Sunday, November 5, 2023",Unavailable or Out of Stock Product,Branch,Closed with explanation,"Monday, January 17, 2022",TRUE,FALSE,CR2118524,US-2015-153065
"Wednesday, September 23, 2020",New Product or Feature Request,Branch,Closed with non-monetary relief,"Friday, May 12, 2023",TRUE,FALSE,CR2184797,US-2015-154925
"Wednesday, December 22, 2021",Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,"Monday, March 27, 2023",TRUE,FALSE,CR0479451,US-2015-160112
"Thursday, November 4, 2021",Unavailable or Out of Stock Product,Phone Support,Closed with explanation,"Friday, July 24, 2020",TRUE,TRUE,CR0718616,US-2015-156645
"Wednesday, October 14, 2020",Long wait on hold,Email,Closed with non-monetary relief,"Saturday, April 22, 2023",TRUE,FALSE,CR2047529,US-2015-154480
"Saturday, August 14, 2021",New Product or Feature Request,Mobile App,Closed with explanation,"Monday, December 13, 2021",TRUE,FALSE,CR0991303,US-2015-151587
"Thursday, October 27, 2022",Lack of Follow Up,Mobile App,Closed with explanation,"Wednesday, December 16, 2020",TRUE,FALSE,CR1822084,US-2015-159641
"Tuesday, February 28, 2023",New Product or Feature Request,Email,Closed with explanation,"Saturday, August 27, 2022",TRUE,FALSE,CR2150336,US-2015-155086
"Friday, December 8, 2023",New Product or Feature Request,Branch,Closed with monetary relief,"Tuesday, November 7, 2023",TRUE,FALSE,CR2119879,US-2015-151989
"Wednesday, June 17, 2020",Poor Product or Service,Email,Closed with monetary relief,"Friday, March 12, 2021",TRUE,FALSE,CR2061914,US-2015-158058
"Friday, October 9, 2020",Lack of Follow Up,Branch,Closed with explanation,"Sunday, May 14, 2023",TRUE,TRUE,CR1500202,US-2015-160523
"Monday, January 16, 2023",Poor Product or Service,Branch,Closed,"Sunday, September 6, 2020",TRUE,,CR2397904,US-2015-154387
"Saturday, July 25, 2020",Long wait on hold,Phone Support,Closed with explanation,"Wednesday, November 1, 2023",TRUE,FALSE,CR2208613,US-2015-159926
"Wednesday, July 12, 2023",Uninterested Service Rep,Email,Closed with explanation,"Thursday, October 21, 2021",TRUE,FALSE,CR1873543,US-2015-156054
"Sunday, April 2, 2023",No First Call Resolution,Mobile App,Closed with explanation,"Sunday, June 20, 2021",TRUE,FALSE,CR1680495,US-2015-151844
"Friday, February 24, 2023",Poor Product or Service,Phone Support,Closed with explanation,"Thursday, November 19, 2020",TRUE,FALSE,CR1313087,US-2015-158031
"Sunday, May 9, 2021",No First Call Resolution,Phone Support,Closed with explanation,"Tuesday, February 9, 2021",TRUE,FALSE,CR1418766,US-2015-150992
"Tuesday, December 19, 2023",Long wait on hold,Phone Support,Closed with explanation,"Wednesday, January 18, 2023",TRUE,FALSE,CR1580992,US-2015-158028
"Tuesday, November 9, 2021",Lack of Follow Up,Branch,Closed with explanation,"Tuesday, November 22, 2022",TRUE,FALSE,CR1340503,US-2015-156383
"Monday, March 13, 2023",Unavailable or Out of Stock Product,Mobile App,Closed with explanation,"Friday, April 28, 2023",TRUE,FALSE,CR1772134,US-2015-158139
"Thursday, September 30, 2021",Poor Product or Service,Phone Support,Closed with explanation,"Sunday, May 21, 2023",TRUE,FALSE,CR2193859,US-2015-154752
"Wednesday, July 21, 2021",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Wednesday, October 5, 2022",FALSE,FALSE,CR0161683,US-2015-153848
"Saturday, March 28, 2020",Unavailable or Out of Stock Product,Phone Support,Closed with explanation,"Friday, December 16, 2022",TRUE,FALSE,CR0322720,US-2015-152868
"Wednesday, September 1, 2021",Making Customers Repeat Their Problem,Phone Support,Closed,"Saturday, January 16, 2021",TRUE,FALSE,CR2277705,US-2015-152328
"Wednesday, September 20, 2023",New Product or Feature Request,Phone Support,Closed with monetary relief,"Tuesday, February 2, 2021",TRUE,FALSE,CR1015058,US-2015-158274
"Sunday, April 9, 2023",Long wait on hold,Mobile App,Closed with monetary relief,"Saturday, August 19, 2023",TRUE,FALSE,CR1566591,US-2015-156095
"Thursday, May 13, 2021",Uninterested Service Rep,Email,Closed with explanation,"Sunday, May 8, 2022",TRUE,FALSE,CR0487225,US-2015-160075
"Sunday, August 21, 2022",Lack of Follow Up,Branch,Closed with explanation,"Monday, July 6, 2020",TRUE,FALSE,CR1949659,US-2015-160581
"Friday, February 21, 2020",No First Call Resolution,Mobile App,Closed with monetary relief,"Monday, January 9, 2023",TRUE,FALSE,CR0746087,US-2015-158441
"Thursday, January 14, 2021",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Monday, March 8, 2021",TRUE,FALSE,CR1863969,US-2015-158800
"Sunday, March 28, 2021",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Monday, September 28, 2020",TRUE,FALSE,CR1819921,US-2015-154510
"Sunday, June 20, 2021",Uninterested Service Rep,Phone Support,Closed with explanation,"Tuesday, August 24, 2021",TRUE,TRUE,CR1820535,US-2015-156327
"Wednesday, September 23, 2020",Poor Product or Service,Email,Closed with explanation,"Wednesday, March 3, 2021",TRUE,FALSE,CR1016584,US-2015-153588
"Tuesday, December 12, 2023",Unavailable or Out of Stock Product,Phone Support,Closed with explanation,"Thursday, September 28, 2023",TRUE,FALSE,CR2199697,US-2015-155274
"Monday, March 29, 2021",No First Call Resolution,Mobile App,Closed with monetary relief,"Tuesday, May 23, 2023",TRUE,FALSE,CR0327025,US-2015-158987
"Sunday, January 3, 2021",No First Call Resolution,Phone Support,Closed with explanation,"Wednesday, June 10, 2020",TRUE,FALSE,CR1869568,US-2015-157196
"Tuesday, June 7, 2022",Lack of Follow Up,Mobile App,Closed with explanation,"Wednesday, April 22, 2020",TRUE,FALSE,CR2061433,US-2015-153566
"Saturday, October 9, 2021",New Product or Feature Request,Branch,Closed with explanation,"Friday, January 8, 2021",TRUE,FALSE,CR2120430,US-2015-152095
"Tuesday, September 13, 2022",No First Call Resolution,Mobile App,Closed with explanation,"Thursday, July 27, 2023",TRUE,FALSE,CR1949866,US-2015-153960
"Tuesday, July 18, 2023",Uninterested Service Rep,Phone Support,Closed with explanation,"Friday, January 24, 2020",TRUE,FALSE,CR1507355,US-2015-156847
"Tuesday, October 3, 2023",New Product or Feature Request,Phone Support,Closed with explanation,"Saturday, October 24, 2020",TRUE,TRUE,CR1584140,US-2015-157523
"Tuesday, February 15, 2022",New Product or Feature Request,Mobile App,Closed with explanation,"Monday, January 10, 2022",TRUE,TRUE,CR0490204,US-2015-154863
"Saturday, June 24, 2023",Unavailable or Out of Stock Product,Mobile App,Closed with monetary relief,"Friday, February 18, 2022",TRUE,FALSE,CR1693185,US-2015-152116
"Sunday, March 21, 2021",Lack of Follow Up,Email,Closed with explanation,"Tuesday, March 10, 2020",TRUE,FALSE,CR2280052,US-2015-158183
"Wednesday, June 14, 2023",Uninterested Service Rep,Mobile App,Closed with non-monetary relief,"Friday, December 24, 2021",TRUE,FALSE,CR1777183,US-2015-153740
"Friday, August 21, 2020",Unavailable or Out of Stock Product,Email,Closed with non-monetary relief,"Thursday, May 21, 2020",TRUE,FALSE,CR1573466,US-2015-157919
"Sunday, April 9, 2023",Uninterested Service Rep,Branch,Closed with explanation,"Wednesday, February 26, 2020",TRUE,FALSE,CR1316790,US-2015-151390
"Friday, January 28, 2022",Long wait on hold,Mobile App,Closed with explanation,"Monday, October 30, 2023",TRUE,FALSE,CR1419754,US-2015-152304
"Friday, September 23, 2022",Lack of Follow Up,Email,Closed with explanation,"Thursday, March 11, 2021",TRUE,FALSE,CR0783255,US-2015-152508
"Monday, October 10, 2022",Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,"Sunday, December 20, 2020",TRUE,FALSE,CR2214250,US-2015-154123
