complaint_id,date_received,resolved_date,order_id,issue_category,channel,company_response,timely_response,consumer_disputed
CR1484197,2023-12-07,2023-08-17,US-2015-150978,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,TRUE,FALSE
CR2107839,2020-06-16,2023-04-17,US-2015-151113,Lack of Follow Up,Branch,Closed with explanation,TRUE,FALSE
CR1554501,2020-03-20,2023-07-24,US-2015-156870,New Product or Feature Request,Email,Closed with non-monetary relief,TRUE,FALSE
CR0887544,2021-11-24,2022-05-07,US-2015-153103,New Product or Feature Request,Phone Support,Closed with explanation,TRUE,FALSE
CR0603229,2022-01-06,2022-02-26,US-2015-150997,Making Customers Repeat Their Problem,Branch,Closed with explanation,TRUE,TRUE
CR1165956,2021-07-17,2021-03-23,US-2015-151649,Long wait on hold,Mobile App,Closed with explanation,TRUE,TRUE
CR1750681,2024-01-11,2022-05-08,US-2015-156740,Poor Product or Service,Email,Closed with monetary relief,TRUE,FALSE
CR1459299,2020-09-26,2020-04-06,US-2015-152743,Poor Product or Service,Branch,Closed with monetary relief,TRUE,FALSE
CR2349389,2021-08-31,2022-06-04,US-2015-155323,Lack of Follow Up,Phone Support,Closed with explanation,TRUE,
CR1834278,2022-12-12,2022-12-07,US-2015-153177,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,TRUE,FALSE
CR2015196,2020-11-19,2021-05-31,US-2015-152990,Poor Product or Service,Email,Closed with explanation,TRUE,FALSE
CR1912592,2020-03-03,2020-10-05,US-2015-155553,Unavailable or Out of Stock Product,Email,Closed with explanation,TRUE,TRUE
CR1630524,2020-12-13,2019-12-31,US-2015-154394,Lack of Follow Up,Phone Support,Closed with non-monetary relief,TRUE,FALSE
CR2011177,2022-08-05,2021-08-09,US-2015-152694,Uninterested Service Rep,Email,Closed with explanation,TRUE,FALSE
CR1775172,2022-12-22,2020-04-10,US-2015-159079,Lack of Follow Up,Phone Support,Closed with non-monetary relief,TRUE,FALSE
CR0121560,2021-02-03,2021-08-14,US-2015-151960,Lack of Follow Up,Phone Support,Closed with explanation,TRUE,TRUE
CR1494677,2023-07-16,2020-03-05,US-2015-158687,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,TRUE,FALSE
CR0277914,2022-02-11,2022-11-28,US-2015-152087,Poor Product or Service,Email,Closed with explanation,TRUE,FALSE
CR2112926,2022-12-31,2020-01-13,US-2015-155025,Uninterested Service Rep,Email,Closed with monetary relief,TRUE,FALSE
CR1193863,2021-03-08,2023-01-17,US-2015-155691,Poor Product or Service,Email,Closed with monetary relief,TRUE,FALSE
CR2032168,2020-07-28,2023-04-14,US-2015-159604,Poor Product or Service,Email,Closed with monetary relief,TRUE,FALSE
CR1752002,2022-05-31,2021-05-22,US-2015-153113,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,TRUE,FALSE
CR1645965,2022-08-28,2023-01-20,US-2015-153831,Uninterested Service Rep,Branch,Closed with non-monetary relief,TRUE,TRUE
CR1565229,2021-03-16,2020-06-26,US-2015-153441,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,FALSE
CR0437926,2023-08-18,2021-06-07,US-2015-160146,New Product or Feature Request,Mobile App,Closed with monetary relief,TRUE,FALSE
CR2081319,2021-09-24,2020-09-23,US-2015-153000,Unavailable or Out of Stock Product,Email,Closed with explanation,TRUE,TRUE
CR1850371,2020-11-27,2021-12-17,US-2015-157540,Uninterested Service Rep,Email,Closed with explanation,TRUE,FALSE
CR2258552,2023-09-20,2020-11-30,US-2015-159554,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR1919514,2022-09-09,2020-12-26,US-2015-160124,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,TRUE,FALSE
CR2379569,2021-01-12,2022-08-27,US-2015-152390,Unavailable or Out of Stock Product,Email,Closed with non-monetary relief,TRUE,
CR1490998,2020-06-12,2023-03-21,US-2015-151543,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,FALSE
CR1389361,2021-01-14,1900-01-00,US-2015-154491,Uninterested Service Rep,Branch,In-Progress,FALSE,FALSE
CR2172002,2023-02-08,2021-06-19,US-2015-154400,Lack of Follow Up,Branch,Closed with explanation,TRUE,TRUE
CR0947307,2021-10-16,2021-09-30,US-2015-152334,Making Customers Repeat Their Problem,Branch,Closed with monetary relief,TRUE,FALSE
CR0688050,2023-11-10,2021-05-25,US-2015-158159,Making Customers Repeat Their Problem,Branch,Closed with explanation,TRUE,FALSE
CR2147799,2020-05-14,2022-05-29,US-2015-153046,Unavailable or Out of Stock Product,Branch,Closed with explanation,TRUE,FALSE
CR1750285,2022-06-17,2023-09-20,US-2015-151083,Long wait on hold,Email,Closed with explanation,TRUE,FALSE
CR0230239,2023-12-19,2020-02-18,US-2015-152443,No First Call Resolution,Mobile App,Closed with explanation,TRUE,FALSE
CR1159924,2020-10-05,2021-03-02,US-2015-159141,New Product or Feature Request,Branch,Closed with explanation,TRUE,TRUE
CR1943347,2022-08-06,2023-05-11,US-2015-153189,No First Call Resolution,Email,Closed with explanation,TRUE,FALSE
CR1550838,2021-08-06,2022-09-17,US-2015-156261,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,FALSE
CR2235451,2021-08-03,2020-04-25,US-2015-151631,Long wait on hold,Mobile App,Closed with non-monetary relief,TRUE,FALSE
CR2350802,2023-06-07,2023-02-05,US-2015-158029,New Product or Feature Request,Phone Support,Closed with explanation,TRUE,
CR2155262,2022-01-31,2020-11-27,US-2015-153249,New Product or Feature Request,Phone Support,Closed with explanation,TRUE,TRUE
CR1630364,2021-03-18,2021-01-16,US-2015-158815,No First Call Resolution,Mobile App,Closed with explanation,TRUE,FALSE
CR1371826,2021-01-20,2023-10-03,US-2015-153677,Long wait on hold,Phone Support,Closed with monetary relief,TRUE,FALSE
CR2104830,2023-03-12,2020-03-22,US-2015-157150,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR0418479,2020-12-31,2020-09-26,US-2015-159279,Poor Product or Service,Email,Closed with monetary relief,TRUE,FALSE
CR1909608,2022-09-24,2021-08-24,US-2015-156849,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,TRUE,TRUE
CR0587861,2020-10-28,2023-03-08,US-2015-154383,Poor Product or Service,Branch,Closed with explanation,TRUE,FALSE
CR1481105,2020-01-28,2020-03-19,US-2015-151369,Long wait on hold,Branch,Closed with explanation,TRUE,FALSE
CR1756563,2023-05-08,2022-11-26,US-2015-159175,Long wait on hold,Phone Support,Closed with explanation,TRUE,TRUE
CR2009490,2023-09-04,2020-12-18,US-2015-151686,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,FALSE
CR1835332,2021-10-16,2020-11-23,US-2015-156903,Unavailable or Out of Stock Product,Email,Closed with explanation,TRUE,FALSE
CR0089542,2023-02-18,2020-10-14,US-2015-155105,Uninterested Service Rep,Mobile App,Closed with monetary relief,FALSE,TRUE
CR1455861,2021-03-22,2023-03-17,US-2015-155604,Long wait on hold,Mobile App,Closed with non-monetary relief,TRUE,FALSE
CR0871335,2023-03-06,2020-04-07,US-2015-160490,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,TRUE
CR0949403,2024-01-17,2021-08-09,US-2015-155443,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,FALSE
CR2035955,2020-08-25,2022-01-28,US-2015-154436,Poor Product or Service,Email,Closed with monetary relief,TRUE,FALSE
CR1854125,2020-09-15,2020-09-28,US-2015-154449,New Product or Feature Request,Mobile App,Closed with monetary relief,TRUE,FALSE
CR0440277,2020-02-11,2022-04-23,US-2015-155580,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,TRUE,FALSE
CR1784697,2021-06-29,2021-12-02,US-2015-160521,Lack of Follow Up,Mobile App,Closed with explanation,TRUE,FALSE
CR2083797,2023-05-20,2022-09-04,US-2015-154209,Unavailable or Out of Stock Product,Branch,Closed with explanation,TRUE,FALSE
CR1249514,2020-04-11,2021-11-01,US-2015-154769,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR2381178,2023-08-26,2022-10-19,US-2015-154479,Unavailable or Out of Stock Product,Branch,Closed with monetary relief,TRUE,
CR1648334,2022-02-25,2022-06-03,US-2015-151619,Uninterested Service Rep,Email,Closed with explanation,TRUE,FALSE
CR1498821,2021-04-15,2021-04-25,US-2015-155731,Making Customers Repeat Their Problem,Email,Closed with non-monetary relief,TRUE,FALSE
CR0689939,2020-01-31,2021-09-04,US-2015-155767,Unavailable or Out of Stock Product,Branch,Closed with explanation,TRUE,FALSE
CR1495257,2021-01-05,2023-01-27,US-2015-152709,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,TRUE,FALSE
CR1390944,2023-08-26,2021-09-22,US-2015-158718,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,FALSE
CR2259376,2020-02-25,2021-03-20,US-2015-152973,No First Call Resolution,Branch,Closed with monetary relief,TRUE,FALSE
CR0283220,2022-01-04,2022-04-07,US-2015-153746,New Product or Feature Request,Email,Closed with explanation,TRUE,TRUE
CR2111636,2023-11-18,2021-10-08,US-2015-156480,Uninterested Service Rep,Mobile App,Closed with explanation,TRUE,FALSE
CR1567700,2023-05-14,2021-01-13,US-2015-155131,New Product or Feature Request,Phone Support,Closed with explanation,TRUE,TRUE
CR0130233,2020-04-01,2021-01-18,US-2015-157394,Unavailable or Out of Stock Product,Email,Closed with monetary relief,TRUE,FALSE
CR1930395,2021-12-17,2020-02-15,US-2015-156887,Unavailable or Out of Stock Product,Email,Closed with explanation,TRUE,FALSE
CR2172937,2022-09-04,2022-08-27,US-2015-154791,Uninterested Service Rep,Mobile App,Closed with explanation,TRUE,FALSE
CR1755925,2023-06-15,2023-10-31,US-2015-152690,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,TRUE,FALSE
CR1496382,2022-06-27,2020-08-15,US-2015-150767,No First Call Resolution,Phone Support,Closed with non-monetary relief,TRUE,FALSE
CR1870285,2023-10-10,2023-06-02,US-2015-153647,No First Call Resolution,Branch,Closed with explanation,TRUE,FALSE
CR2271991,2023-01-14,2020-12-17,US-2015-153252,Uninterested Service Rep,Mobile App,Closed with explanation,TRUE,FALSE
CR1305593,2021-07-29,2020-02-20,US-2015-154772,No First Call Resolution,Mobile App,Closed with explanation,TRUE,TRUE
CR1544229,2023-11-14,2021-04-28,US-2015-152636,Poor Product or Service,Branch,Closed with explanation,TRUE,FALSE
CR1415743,2021-07-09,2021-05-01,US-2015-160164,Long wait on hold,Email,Closed with explanation,TRUE,TRUE
CR0313086,2021-01-18,2023-08-06,US-2015-153532,Long wait on hold,Branch,Closed with explanation,TRUE,TRUE
CR0138644,2020-07-23,2022-06-15,US-2015-158754,Long wait on hold,Branch,Closed with monetary relief,TRUE,FALSE
CR2132541,2020-02-04,2023-01-14,US-2015-151097,Unavailable or Out of Stock Product,Phone Support,Closed with monetary relief,TRUE,FALSE
CR1941376,2021-08-08,2022-07-17,US-2015-159225,New Product or Feature Request,Email,Closed with explanation,TRUE,FALSE
CR2394945,2021-01-07,2021-10-22,US-2015-151517,No First Call Resolution,Mobile App,Closed with explanation,TRUE,
CR1577468,2023-08-05,2023-04-07,US-2015-151119,Poor Product or Service,Email,Closed with explanation,TRUE,TRUE
CR1660050,2022-09-21,2022-10-17,US-2015-159361,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,FALSE
CR1766940,2022-11-04,2020-03-28,US-2015-158986,No First Call Resolution,Email,Closed with explanation,TRUE,FALSE
CR2118524,2023-11-05,2022-01-17,US-2015-153065,Unavailable or Out of Stock Product,Branch,Closed with explanation,TRUE,FALSE
CR2184797,2020-09-23,2023-05-12,US-2015-154925,New Product or Feature Request,Branch,Closed with non-monetary relief,TRUE,FALSE
CR0479451,2021-12-22,2023-03-27,US-2015-160112,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,TRUE,FALSE
CR0718616,2021-11-04,2020-07-24,US-2015-156645,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,TRUE,TRUE
CR2047529,2020-10-14,2023-04-22,US-2015-154480,Long wait on hold,Email,Closed with non-monetary relief,TRUE,FALSE
CR0991303,2021-08-14,2021-12-13,US-2015-151587,New Product or Feature Request,Mobile App,Closed with explanation,TRUE,FALSE
CR1822084,2022-10-27,2020-12-16,US-2015-159641,Lack of Follow Up,Mobile App,Closed with explanation,TRUE,FALSE
CR2150336,2023-02-28,2022-08-27,US-2015-155086,New Product or Feature Request,Email,Closed with explanation,TRUE,FALSE
CR2119879,2023-12-08,2023-11-07,US-2015-151989,New Product or Feature Request,Branch,Closed with monetary relief,TRUE,FALSE
CR2061914,2020-06-17,2021-03-12,US-2015-158058,Poor Product or Service,Email,Closed with monetary relief,TRUE,FALSE
CR1500202,2020-10-09,2023-05-14,US-2015-160523,Lack of Follow Up,Branch,Closed with explanation,TRUE,TRUE
CR2397904,2023-01-16,2020-09-06,US-2015-154387,Poor Product or Service,Branch,Closed,TRUE,
CR2208613,2020-07-25,2023-11-01,US-2015-159926,Long wait on hold,Phone Support,Closed with explanation,TRUE,FALSE
CR1873543,2023-07-12,2021-10-21,US-2015-156054,Uninterested Service Rep,Email,Closed with explanation,TRUE,FALSE
CR1680495,2023-04-02,2021-06-20,US-2015-151844,No First Call Resolution,Mobile App,Closed with explanation,TRUE,FALSE
CR1313087,2023-02-24,2020-11-19,US-2015-158031,Poor Product or Service,Phone Support,Closed with explanation,TRUE,FALSE
CR1418766,2021-05-09,2021-02-09,US-2015-150992,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR1580992,2023-12-19,2023-01-18,US-2015-158028,Long wait on hold,Phone Support,Closed with explanation,TRUE,FALSE
CR1340503,2021-11-09,2022-11-22,US-2015-156383,Lack of Follow Up,Branch,Closed with explanation,TRUE,FALSE
CR1772134,2023-03-13,2023-04-28,US-2015-158139,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,TRUE,FALSE
CR2193859,2021-09-30,2023-05-21,US-2015-154752,Poor Product or Service,Phone Support,Closed with explanation,TRUE,FALSE
CR0161683,2021-07-21,2022-10-05,US-2015-153848,Making Customers Repeat Their Problem,Branch,Closed with explanation,FALSE,FALSE
CR0322720,2020-03-28,2022-12-16,US-2015-152868,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,TRUE,FALSE
CR2277705,2021-09-01,2021-01-16,US-2015-152328,Making Customers Repeat Their Problem,Phone Support,Closed,TRUE,FALSE
CR1015058,2023-09-20,2021-02-02,US-2015-158274,New Product or Feature Request,Phone Support,Closed with monetary relief,TRUE,FALSE
CR1566591,2023-04-09,2023-08-19,US-2015-156095,Long wait on hold,Mobile App,Closed with monetary relief,TRUE,FALSE
CR0487225,2021-05-13,2022-05-08,US-2015-160075,Uninterested Service Rep,Email,Closed with explanation,TRUE,FALSE
CR1949659,2022-08-21,2020-07-06,US-2015-160581,Lack of Follow Up,Branch,Closed with explanation,TRUE,FALSE
CR0746087,2020-02-21,2023-01-09,US-2015-158441,No First Call Resolution,Mobile App,Closed with monetary relief,TRUE,FALSE
CR1863969,2021-01-14,2021-03-08,US-2015-158800,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,FALSE
CR1819921,2021-03-28,2020-09-28,US-2015-154510,Making Customers Repeat Their Problem,Branch,Closed with explanation,TRUE,FALSE
CR1820535,2021-06-20,2021-08-24,US-2015-156327,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,TRUE
CR1016584,2020-09-23,2021-03-03,US-2015-153588,Poor Product or Service,Email,Closed with explanation,TRUE,FALSE
CR2199697,2023-12-12,2023-09-28,US-2015-155274,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,TRUE,FALSE
CR0327025,2021-03-29,2023-05-23,US-2015-158987,No First Call Resolution,Mobile App,Closed with monetary relief,TRUE,FALSE
CR1869568,2021-01-03,2020-06-10,US-2015-157196,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR2061433,2022-06-07,2020-04-22,US-2015-153566,Lack of Follow Up,Mobile App,Closed with explanation,TRUE,FALSE
CR2120430,2021-10-09,2021-01-08,US-2015-152095,New Product or Feature Request,Branch,Closed with explanation,TRUE,FALSE
CR1949866,2022-09-13,2023-07-27,US-2015-153960,No First Call Resolution,Mobile App,Closed with explanation,TRUE,FALSE
CR1507355,2023-07-18,2020-01-24,US-2015-156847,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,FALSE
CR1584140,2023-10-03,2020-10-24,US-2015-157523,New Product or Feature Request,Phone Support,Closed with explanation,TRUE,TRUE
CR0490204,2022-02-15,2022-01-10,US-2015-154863,New Product or Feature Request,Mobile App,Closed with explanation,TRUE,TRUE
CR1693185,2023-06-24,2022-02-18,US-2015-152116,Unavailable or Out of Stock Product,Mobile App,Closed with monetary relief,TRUE,FALSE
CR2280052,2021-03-21,2020-03-10,US-2015-158183,Lack of Follow Up,Email,Closed with explanation,TRUE,FALSE
CR1777183,2023-06-14,2021-12-24,US-2015-153740,Uninterested Service Rep,Mobile App,Closed with non-monetary relief,TRUE,FALSE
CR1573466,2020-08-21,2020-05-21,US-2015-157919,Unavailable or Out of Stock Product,Email,Closed with non-monetary relief,TRUE,FALSE
CR1316790,2023-04-09,2020-02-26,US-2015-151390,Uninterested Service Rep,Branch,Closed with explanation,TRUE,FALSE
CR1419754,2022-01-28,2023-10-30,US-2015-152304,Long wait on hold,Mobile App,Closed with explanation,TRUE,FALSE
CR0783255,2022-09-23,2021-03-11,US-2015-152508,Lack of Follow Up,Email,Closed with explanation,TRUE,FALSE
CR2214250,2022-10-10,2020-12-20,US-2015-154123,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,TRUE,FALSE
CR1338985,2022-03-28,2022-01-26,US-2015-151707,Uninterested Service Rep,Mobile App,Closed with explanation,TRUE,FALSE
CR0170715,2023-02-16,2023-07-26,US-2015-156369,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR1874408,2022-11-17,2021-10-29,US-2015-150875,Poor Product or Service,Branch,Closed with explanation,TRUE,FALSE
CR2398557,2021-11-16,2022-06-14,US-2015-158496,Long wait on hold,Phone Support,Closed with explanation,TRUE,
CR2239563,2021-11-18,2020-08-05,US-2015-158476,Uninterested Service Rep,Mobile App,Closed with monetary relief,TRUE,FALSE
CR1823106,2023-11-24,2023-03-01,US-2015-158847,Poor Product or Service,Branch,Closed with explanation,TRUE,TRUE
CR2109011,2021-08-15,2020-03-14,US-2015-153105,Poor Product or Service,Branch,Closed with explanation,TRUE,FALSE
CR0090075,2023-07-27,2022-05-12,US-2015-151025,Lack of Follow Up,Branch,Closed with explanation,TRUE,FALSE
CR1773807,2021-06-25,2020-01-04,US-2015-154047,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR1167964,2020-08-31,2022-02-27,US-2015-159570,Unavailable or Out of Stock Product,Branch,Closed with explanation,TRUE,FALSE
CR0420867,2020-01-10,2022-05-30,US-2015-158196,Poor Product or Service,Phone Support,Closed with explanation,TRUE,TRUE
CR1555127,2022-04-09,2021-12-19,US-2015-154458,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,FALSE
CR1916042,2021-11-13,2021-01-09,US-2015-150940,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,FALSE
CR2029764,2020-09-08,2022-02-05,US-2015-153273,Unavailable or Out of Stock Product,Email,Closed with explanation,TRUE,FALSE
CR0256410,2021-05-05,2020-12-22,US-2015-154477,Lack of Follow Up,Branch,Closed with monetary relief,TRUE,FALSE
CR2250123,2020-06-07,2021-08-03,US-2015-159787,Uninterested Service Rep,Email,Closed with explanation,TRUE,FALSE
CR1484298,2023-04-13,2021-12-15,US-2015-155773,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,TRUE,FALSE
CR0888321,2020-06-24,2023-11-09,US-2015-151438,Long wait on hold,Mobile App,Closed with explanation,TRUE,FALSE
CR0644531,2021-04-10,2022-07-13,US-2015-159268,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,FALSE
CR1839721,2021-12-04,2021-07-06,US-2015-153200,Long wait on hold,Mobile App,Closed with explanation,TRUE,FALSE
CR2036377,2021-02-15,2020-11-16,US-2015-160238,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,TRUE,FALSE
CR1762648,2023-12-07,2021-12-18,US-2015-155605,Long wait on hold,Phone Support,Closed with explanation,TRUE,TRUE
CR0659192,2022-07-04,2021-07-09,US-2015-156616,No First Call Resolution,Branch,Closed with explanation,TRUE,FALSE
CR1484603,2020-12-13,2021-04-20,US-2015-154015,Poor Product or Service,Phone Support,Closed with explanation,TRUE,FALSE
CR1843712,2020-02-13,2023-10-29,US-2015-159028,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,FALSE
CR2362994,2021-03-28,2022-03-20,US-2015-152841,Poor Product or Service,Email,Closed with monetary relief,TRUE,
CR1633056,2022-03-30,2021-09-11,US-2015-156424,Long wait on hold,Email,Closed with monetary relief,TRUE,FALSE
CR0428430,2022-09-26,2020-03-20,US-2015-156417,Uninterested Service Rep,Mobile App,Closed with monetary relief,TRUE,FALSE
CR1640566,2021-05-02,2020-12-23,US-2015-154477,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,TRUE,FALSE
CR1752931,2021-01-28,2022-06-24,US-2015-155747,Lack of Follow Up,Mobile App,Closed with explanation,TRUE,TRUE
CR2378054,2021-09-09,2020-02-01,US-2015-160259,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,
CR1182664,2021-09-19,2023-04-08,US-2015-160180,Making Customers Repeat Their Problem,Email,Closed with explanation,TRUE,TRUE
CR2017443,2021-11-02,2023-02-23,US-2015-159665,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,TRUE,FALSE
CR2159818,2022-04-28,2021-01-30,US-2015-158112,Long wait on hold,Email,Closed with monetary relief,TRUE,FALSE
CR2011299,2023-03-20,2022-01-15,US-2015-152670,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,FALSE
CR1750873,2021-12-29,2020-11-06,US-2015-157795,Uninterested Service Rep,Email,Closed with explanation,TRUE,FALSE
CR1483597,2021-04-06,2022-07-13,US-2015-159268,Long wait on hold,Phone Support,Closed with explanation,TRUE,TRUE
CR1384077,2024-01-09,2020-04-24,US-2015-160412,Lack of Follow Up,Mobile App,Closed with explanation,TRUE,FALSE
CR0927871,2021-03-21,2020-02-19,US-2015-157274,Unavailable or Out of Stock Product,Branch,Closed with explanation,TRUE,FALSE
CR1557863,2023-08-17,2023-07-03,US-2015-151047,Unavailable or Out of Stock Product,Branch,Closed with explanation,TRUE,TRUE
CR2238023,2020-11-07,2021-08-15,US-2015-156123,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,TRUE
CR0097731,2022-06-14,2020-07-04,US-2015-158624,Unavailable or Out of Stock Product,Mobile App,Closed with non-monetary relief,TRUE,TRUE
CR2166955,2022-07-18,2022-11-17,US-2015-158117,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,TRUE
CR2106553,2020-02-13,2022-08-24,US-2015-158327,Lack of Follow Up,Email,Closed with explanation,TRUE,FALSE
CR0257240,2023-07-04,2020-10-24,US-2015-155329,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,TRUE,FALSE
CR1387408,2020-10-28,2020-01-13,US-2015-152288,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR1467137,2020-08-09,2022-07-06,US-2015-156450,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,FALSE
CR1919975,2021-01-07,2021-04-16,US-2015-155235,Uninterested Service Rep,Branch,Closed with monetary relief,TRUE,FALSE
CR0739756,2020-03-30,2022-07-10,US-2015-151138,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,TRUE,FALSE
CR1580111,2020-04-26,2022-12-30,US-2015-158326,Poor Product or Service,Phone Support,Closed with explanation,TRUE,FALSE
CR1007303,2023-08-09,2021-04-12,US-2015-155484,No First Call Resolution,Branch,Closed with monetary relief,TRUE,FALSE
CR2055729,2021-12-03,2022-04-16,US-2015-158843,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR0146975,2020-03-27,2022-07-12,US-2015-151138,Uninterested Service Rep,Email,Closed with explanation,TRUE,TRUE
CR2118493,2020-02-23,2020-10-30,US-2015-152237,Poor Product or Service,Email,Closed with explanation,TRUE,FALSE
CR2184843,2023-04-13,2020-03-27,US-2015-158330,Long wait on hold,Phone Support,Closed with non-monetary relief,TRUE,FALSE
CR1769933,2023-03-07,2020-12-20,US-2015-152124,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,TRUE,FALSE
CR1941546,2020-06-05,2022-05-29,US-2015-158772,New Product or Feature Request,Phone Support,Closed with explanation,TRUE,FALSE
CR0480773,2024-01-04,2022-10-20,US-2015-156668,Lack of Follow Up,Branch,Closed with explanation,TRUE,FALSE
CR1675811,2020-08-04,2022-11-15,US-2015-151352,Lack of Follow Up,Branch,Closed with explanation,TRUE,TRUE
CR1845683,2023-05-12,2023-02-10,US-2015-157836,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,TRUE,FALSE
CR2189595,2021-11-21,2021-02-26,US-2015-159291,Unavailable or Out of Stock Product,Branch,Closed with explanation,TRUE,FALSE
CR1313382,2022-08-06,2021-05-30,US-2015-153390,No First Call Resolution,Branch,Closed with explanation,TRUE,FALSE
CR2275295,2022-06-21,2022-10-24,US-2015-157624,Poor Product or Service,Branch,Closed with explanation,TRUE,FALSE
CR1334090,2021-03-09,2023-01-05,US-2015-158137,No First Call Resolution,Phone Support,Closed with non-monetary relief,TRUE,FALSE
CR2397006,2020-10-09,2022-10-17,US-2015-159699,Making Customers Repeat Their Problem,Branch,Closed with explanation,TRUE,
CR0315956,2023-02-01,2022-10-12,US-2015-159252,Lack of Follow Up,Mobile App,Closed with explanation,TRUE,FALSE
CR1563107,2023-12-09,2021-08-18,US-2015-158730,Lack of Follow Up,Mobile App,Closed with explanation,TRUE,FALSE
CR1414538,2023-01-27,2022-03-13,US-2015-156143,Uninterested Service Rep,Branch,Closed with explanation,TRUE,FALSE
CR1874223,2020-02-04,2020-06-27,US-2015-151294,Lack of Follow Up,Mobile App,Closed with monetary relief,TRUE,FALSE
CR1497595,2021-09-05,2022-05-30,US-2015-157905,Uninterested Service Rep,Email,Closed with explanation,TRUE,FALSE
CR2124324,2020-05-31,2021-09-17,US-2015-155518,Making Customers Repeat Their Problem,Email,Closed with explanation,TRUE,FALSE
CR1509134,2022-07-05,1900-01-00,US-2015-153943,Lack of Follow Up,Phone Support,In-Progress,FALSE,FALSE
CR2399597,2020-02-04,2020-04-30,US-2015-157399,Uninterested Service Rep,Phone Support,Closed with monetary relief,TRUE,
CR1874694,2023-11-08,2020-04-13,US-2015-152085,Long wait on hold,Mobile App,Closed with explanation,TRUE,TRUE
CR2225814,2022-09-14,2021-08-02,US-2015-158296,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR2209979,2022-11-04,2021-11-20,US-2015-154486,Long wait on hold,Branch,Closed with explanation,TRUE,TRUE
CR1344050,2023-03-21,2021-03-25,US-2015-158470,No First Call Resolution,Branch,Closed with monetary relief,TRUE,FALSE
CR1693184,2022-05-18,2022-07-03,US-2015-153620,Uninterested Service Rep,Email,Closed with explanation,TRUE,FALSE
CR0785224,2021-11-28,2021-01-04,US-2015-156626,No First Call Resolution,Mobile App,Closed with non-monetary relief,TRUE,FALSE
CR0327012,2022-03-02,2022-08-20,US-2015-151621,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR2200226,2022-04-04,2021-12-16,US-2015-157072,Long wait on hold,Branch,Closed with explanation,TRUE,FALSE
